date,overnight-target,overnight,bank,prime,1y-fixed-posted,3y-fixed-posted,5y-fixed-posted,2y-bond,3y-bond,5y-bond,7y-bond,10y-bond
2014-05-23,1,,,,,,,,,,,
2014-05-22,1,1.0005,1.25,,,,,1.05,1.14,1.59,1.92,2.32
2014-05-21,1,0.9987,1.25,3,3.14,3.75,4.79,1.05,1.14,1.56,1.89,2.3
2014-05-20,1,0.9879,1.25,,,,,1.04,1.12,1.54,1.86,2.27
2014-05-19,1,,1.25,,,,,,,,,
2014-05-16,1,0.9981,1.25,,,,,1.04,1.12,1.54,1.85,2.26
2014-05-15,1,0.9997,1.25,,,,,1.03,1.12,1.53,1.85,2.26
2014-05-14,1,0.9972,1.25,3,3.14,3.75,4.79,1.04,1.13,1.56,1.88,2.28
2014-05-13,1,0.9922,1.25,,,,,1.06,1.16,1.62,1.95,2.35
2014-05-12,1,0.9933,1.25,,,,,1.07,1.17,1.66,1.99,2.4
2014-05-09,1,0.9959,1.25,,,,,1.06,1.15,1.62,1.95,2.36
2014-05-08,1,0.9991,1.25,,,,,1.07,1.17,1.65,1.97,2.37
2014-05-07,1,0.9983,1.25,3,3.14,3.75,4.79,1.07,1.17,1.64,1.97,2.37
2014-05-06,1,0.998,1.25,,,,,1.07,1.16,1.65,1.97,2.37
2014-05-05,1,0.998,1.25,,,,,1.07,1.16,1.64,1.96,2.37
2014-05-02,1,1,1.25,,,,,1.07,1.16,1.63,1.94,2.35
2014-05-01,1,1.0075,1.25,,,,,1.05,1.16,1.64,1.95,2.36
2014-04-30,1,0.9982,1.25,3,3.14,3.75,4.79,1.06,1.18,1.67,1.99,2.4
2014-04-29,1,0.998,1.25,,,,,1.08,1.21,1.7,2.02,2.43
2014-04-28,1,0.9985,1.25,,,,,1.07,1.2,1.69,2.02,2.44
2014-04-25,1,0.9966,1.25,,,,,1.06,1.19,1.67,1.99,2.41
2014-04-24,1,1,1.25,,,,,1.07,1.2,1.69,2.01,2.42
2014-04-23,1,0.9981,1.25,3,3.14,3.75,4.79,1.06,1.19,1.69,2,2.42
2014-04-22,1,0.9998,1.25,,,,,1.07,1.21,1.71,2.02,2.45
2014-04-21,1,1.0009,1.25,,,,,1.07,1.21,1.72,2.03,2.45
2014-04-18,1,,1.25,,,,,,,,,
2014-04-17,1,1.0016,1.25,,,,,1.07,1.21,1.71,2.03,2.45
2014-04-16,1,0.9994,1.25,3,3.14,3.75,4.79,1.05,1.18,1.65,1.97,2.39
2014-04-15,1,0.9972,1.25,,,,,1.04,1.18,1.63,1.95,2.38
2014-04-14,1,0.9977,1.25,,,,,1.05,1.19,1.66,1.98,2.41
2014-04-11,1,0.9954,1.25,,,,,1.04,1.19,1.64,1.96,2.39
2014-04-10,1,0.9964,1.25,,,,,1.05,1.2,1.67,2,2.43
2014-04-09,1,0.9957,1.25,3,3.14,3.75,4.79,1.07,1.23,1.71,2.04,2.47
2014-04-08,1,0.9978,1.25,,,,,1.08,1.24,1.72,2.04,2.46
2014-04-07,1,0.9965,1.25,,,,,1.08,1.24,1.73,2.04,2.46
2014-04-04,1,0.9967,1.25,,,,,1.09,1.25,1.75,2.07,2.49
2014-04-03,1,0.9983,1.25,,,,,1.1,1.27,1.78,2.12,2.54
2014-04-02,1,0.9985,1.25,3,3.14,3.75,4.99,1.1,1.27,1.78,2.12,2.55
2014-04-01,1,1.0003,1.25,,,,,1.07,1.25,1.72,2.07,2.5
2014-03-31,1,0.9917,1.25,,,,,1.07,1.24,1.71,2.03,2.46
2014-03-28,1,0.9968,1.25,,,,,1.07,1.24,1.7,2.01,2.44
2014-03-27,1,0.9988,1.25,,,,,1.06,1.23,1.68,2,2.43
2014-03-26,1,1,1.25,3,3.14,3.75,4.99,1.06,1.23,1.69,2.02,2.45
2014-03-25,1,0.9976,1.25,,,,,1.07,1.24,1.72,2.04,2.47
2014-03-24,1,0.9975,1.25,,,,,1.07,1.25,1.72,2.03,2.46
2014-03-21,1,0.9977,1.25,,,,,1.07,1.25,1.72,2.06,2.48
2014-03-20,1,0.998,1.25,,,,,1.07,1.25,1.73,2.07,2.5
2014-03-19,1,0.9975,1.25,3,3.14,3.75,4.99,1.06,1.24,1.71,2.03,2.48
2014-03-18,1,0.9967,1.25,,,,,1,1.17,1.61,1.95,2.4
2014-03-17,1,0.9961,1.25,,,,,1.03,1.2,1.64,1.98,2.43
2014-03-14,1,0.9954,1.25,,,,,1.01,1.17,1.6,1.94,2.39
2014-03-13,1,0.9974,1.25,,,,,1.01,1.17,1.59,1.93,2.38
2014-03-12,1,0.9941,1.25,3,3.14,3.75,4.99,1.02,1.19,1.64,1.99,2.44
2014-03-11,1,0.996,1.25,,,,,1.03,1.21,1.67,2.02,2.48
